source_id,ra_deg,dec_deg,gmag
3072306212680944768,130.09530502218,-02.78972595887,11.143260
3072306624997804544,130.11632687776,-02.77154749832,11.815748
3072312775390968320,130.17608827175,-02.71994448667,9.348438
3072314493377124864,130.13925033482,-02.65359157426,10.495856
3072316417523108608,130.25110629838,-02.60117804685,8.187671
3072319200661968768,130.00427751578,-02.74282425726,10.961496
3072319338100919040,130.01475300401,-02.72239829289,10.226881
3072325282335662464,129.89007555764,-02.59125903762,11.231677
3072329989619918592,130.14831402975,-02.49625800913,8.516262
3072333872270219136,130.02887337188,-02.45663888712,11.243423
3072335070566069632,130.42572630884,-02.62235832387,10.102153
3072349746469474944,130.49020859511,-02.35116836902,11.162917
3072349776533016576,130.49784457262,-02.33549186667,11.902658
3072351292657208320,130.59023451082,-02.30730162769,10.788549
3072351838118387584,130.62652468883,-02.25909821881,11.706489
3072355445889850368,130.29453701182,-02.41343240381,11.301414
3072356236163830272,130.35646580867,-02.34118396086,11.640253
3072357026437815168,130.15348993115,-02.41047501985,11.999734
3072358332107872000,130.19580356707,-02.36195675474,9.341689
3072359706497403648,130.30221272450,-02.29958024245,11.231806
3072359809576617344,130.30490849450,-02.28396246317,11.066092
3072364688659462144,130.48357611202,-02.22317515834,11.657722
